Minutes,Data_noLeak
1,2399.793558
2,10758.74707
3,18130.17567
4,19769.55153
5,20295.54826
6,20554.33626
7,20741.70197
8,20864.40706
9,20942.6459
10,20984.43604
11,21007.83305
12,21013.65392
13,21019.31206
14,20996.64898
15,20968.80223
16,20927.11703
17,20846.4884
18,20654.95543
19,20250.35116
20,19532.73337
21,18383.62009
22,16856.35139
23,15029.21266
24,13105.61311
25,11427.31178
26,9990.365128
27,8632.520154
28,7429.781029
29,6351.136265
30,5465.981349
31,4826.23103
32,4363.119035
33,3969.953787
34,3623.966838
35,3304.357049
36,3009.395214
37,2744.856632
38,2495.405332
39,2295.812858
40,2142.590102
41,2038.88649
42,1899.523252
43,1719.447754
44,1598.898911
45,1517.822542
46,1472.098995
47,1446.082804
48,1428.346851
49,1412.252934
50,1396.331649
51,1382.450659
52,1370.124364
53,1361.087832
54,1352.342423
55,1344.636897
56,1334.980203
57,1327.115744
58,1320.047843
59,1313.876672
60,1310.824144
61,1304.018384
62,1297.116821
63,1292.06239
64,1286.939199
65,1281.441431
66,1272.863538
67,1264.51896
68,1255.674882
69,1248.075106
70,1240.981686
71,1232.786554
72,1225.502718
73,1219.535302
74,1214.948704
75,1206.87595
76,1198.44668
77,1190.095636
78,1180.832432
79,1171.054936
80,1162.320914
81,1154.894518
82,1146.949217
83,1140.135634
84,1132.696787
85,1123.354652
86,1114.650634
87,1106.601829
88,1098.545891
89,1090.489919
90,1082.373038
91,1075.396174
92,1068.671511
93,1060.589831
94,1052.059949
95,1045.461169
96,1038.341136
97,1029.76498
98,1023.247885
99,1016.34316
100,1005.959108
101,985.2851051
102,950.7644675
103,910.5724637
104,871.9754247
105,838.9307087
106,808.773452
107,784.5023256
108,763.8196157
109,746.770216
110,733.1340827
111,714.844036
112,679.6114543
113,639.3840219
114,599.4863773
115,557.6700273
116,513.7719815
117,476.8458198
118,447.8922403
119,423.4562054
120,403.3517709
121,386.5050445
122,371.1424827
123,356.6656661
124,344.5164283
125,334.0122038
126,324.5433873
127,315.6887321
128,307.6370924
129,300.5868747
130,294.5925385
131,289.1843047
132,283.9936946
133,279.2592692
134,275.0576114
135,270.8494519
136,266.9184397
137,263.277606
138,259.6793152
139,255.8865252
140,252.3699916
141,248.7861621
142,245.3831473
143,241.9816732
144,238.189115
145,234.4341822
146,231.7603821
147,229.1806785
148,223.8202954
149,214.4349413
150,204.4233565
151,196.379168
152,189.514509
153,182.9621155
154,176.8946173
155,168.5274872
156,160.0358406
157,153.2855575
158,148.052967
159,143.6780305
160,139.9731487
161,136.1740452
162,132.4340336
163,129.4544564
164,126.7780786
165,124.1148337
166,121.6978902
167,120.0280436
168,118.3351143
169,116.7902629
170,115.3181864
171,113.9141676
172,112.5930698
173,111.2878408
174,110.2181946
175,109.1789507
176,107.9089355
177,106.3909153
178,105.0378638
179,104.1310734
180,103.0960741
181,102.4599299
