Minutes,Data_noLeak
1,1887.078995
2,10496.7787
3,18917.43066
4,20736.68663
5,21316.67462
6,21592.9737
7,21795.4481
8,21932.87638
9,22014.6687
10,22058.88294
11,22088.1292
12,22090.93861
13,22098.01128
14,22069.68242
15,22034.87399
16,21983.21416
17,21883.76838
18,21653.71642
19,21173.28937
20,20323.83905
21,19026.96967
22,17367.55534
23,15406.93032
24,13363.17579
25,11626.57215
26,10193.0402
27,8933.237687
28,7800.646611
29,6718.077286
30,5805.480915
31,5134.311995
32,4643.261734
33,4257.266931
34,3939.950984
35,3640.986514
36,3348.768885
37,3063.208466
38,2795.149161
39,2572.05646
40,2383.58446
41,2252.317997
42,2078.524325
43,1855.877785
44,1702.742486
45,1596.860265
46,1534.261605
47,1497.067715
48,1472.320497
49,1453.248166
50,1436.161387
51,1421.359334
52,1408.900405
53,1400.528766
54,1392.493778
55,1385.734292
56,1376.509866
57,1369.501346
58,1362.267548
59,1356.544052
60,1354.547953
61,1348.164215
62,1341.878555
63,1338.271591
64,1333.789675
65,1328.826518
66,1320.380223
67,1311.757934
68,1303.396194
69,1295.753092
70,1288.288734
71,1280.685605
72,1273.401347
73,1267.895134
74,1264.244214
75,1256.329648
76,1247.918391
77,1239.238762
78,1229.407316
79,1219.26851
80,1210.760864
81,1204.545125
82,1197.981334
83,1193.119186
84,1188.074196
85,1179.943593
86,1171.926153
87,1165.007624
88,1157.73179
89,1150.726273
90,1143.907326
91,1138.168778
92,1132.706622
93,1125.509572
94,1117.713965
95,1112.013809
96,1105.907766
97,1098.220126
98,1092.521824
99,1086.308521
100,1075.718081
101,1051.8618
102,1011.92937
103,963.9879286
104,917.0058714
105,877.2045388
106,841.4961653
107,813.1237795
108,789.4565814
109,770.0667434
110,754.6849678
111,733.7043293
112,691.9858654
113,643.9939586
114,595.9323963
115,545.2300105
116,491.6148436
117,447.2899001
118,411.9699451
119,382.8097648
120,359.0943156
121,339.7341194
122,322.2102613
123,305.7751521
124,292.0269339
125,280.3204229
126,270.0948072
127,260.4212483
128,251.7374285
129,244.0980496
130,237.3818475
131,231.585697
132,226.2460245
133,221.278066
134,216.9689462
135,212.7079737
136,208.6617622
137,205.0347517
138,201.453738
139,197.6238883
140,194.132625
141,190.7299357
142,187.7213733
143,184.878123
144,181.3573044
145,177.3558381
146,174.5296555
147,171.8192013
148,168.9720245
149,166.4533056
150,163.8149986
151,161.3430664
152,158.9121118
153,156.0086238
154,154.3115875
155,151.8625552
156,149.1269441
157,146.7887939
158,145.0230357
159,143.3345718
160,141.6037932
161,139.7707926
162,137.9386296
163,136.1959086
164,134.5824565
165,132.7600759
166,130.9172589
167,129.664327
168,128.2631831
169,127.0241597
170,125.7881673
171,124.5869675
172,123.5054601
173,122.396815
174,121.4794439
175,120.5611038
176,119.346288
177,117.8132029
178,116.4786499
179,115.6410024
180,114.6114012
181,113.9728005
