Minutes,Data_noLeak
1,1999.381356
2,1999.359649
3,1999.361319
4,1999.381356
5,1999.316235
23,1999.267395
24,1999.169714
25,1999.169714
26,1999.169714
27,1999.162737
28,1999.166458
29,1999.171838
30,1999.167144
31,1999.169714
32,1999.072034
34,1999.079011
35,1999.062266
36,1999.072034
37,1974.961331
38,1866.008912
39,1726.267084
40,1493.706667
41,1319.191424
42,1161.742527
43,1055.702452
44,975.7570325
45,907.5478955
46,866.5920736
47,820.7315274
48,782.7557761
49,743.5563981
50,708.9075874
51,676.6303006
52,651.8231349
53,624.0401811
54,596.9989117
55,573.0087178
56,551.7060112
57,534.5955893
58,514.5830713
59,499.6516931
60,479.1138274
61,458.8972258
62,441.4112627
63,425.8623064
64,410.1263834
65,394.6132466
66,377.6964494
67,364.3641397
68,351.4468871
69,338.1015642
70,323.4692087
71,312.7053659
72,302.190021
73,290.7364297
74,279.9075466
75,269.7524351
76,260.3135097
77,250.7846686
78,241.6440219
79,233.8311103
80,225.2820909
81,218.1355375
82,211.2027934
83,204.0759967
84,197.1597399
85,190.722107
86,184.5999623
87,178.2633739
88,172.560483
89,166.7323147
90,162.1806648
91,156.8587222
92,152.2381371
93,146.9947515
94,142.6861632
95,138.7257679
96,134.0268676
97,130.5263568
98,126.7978988
99,122.8032263
100,119.6637311
101,114.9280995
102,109.1148557
103,104.6793563
104,100.1990334
105,95.7312648
106,92.34440539
107,88.73430978
108,85.63234324
109,82.80897333
110,79.98209237
111,76.16767483
112,72.668282
113,69.67521315
114,65.95902862
115,63.34237179
116,60.43405629
117,58.6189126
118,56.19072393
119,54.20682983
120,52.35288285
121,50.7188405
122,49.51869309
123,48.06077876
124,46.90167381
125,45.77318671
126,44.79106933
127,43.77367979
128,42.71067636
129,42.24590233
130,41.24309519
131,40.5569409
132,39.72634107
133,39.07309375
134,38.54896241
135,37.91101342
136,37.21361289
137,36.74251718
138,36.03301503
139,35.67901234
140,35.21120837
141,34.82853618
142,34.00282494
143,33.66598836
144,33.313941
145,32.96358575
146,32.5865089
147,32.13156841
148,30.59707517
149,29.35244106
150,27.61711983
151,26.59058906
152,25.44243996
153,24.49180452
154,23.68742375
155,22.99796509
156,22.32878251
157,21.89034242
158,21.31758887
159,20.89307505
160,20.51607641
161,20.29629613
162,19.86161994
163,19.60509327
164,19.44826247
165,19.17378929
166,19.02668781
167,18.91383074
168,18.61145777
169,18.51037866
170,18.35083459
171,18.2619923
172,18.08058653
173,17.94120438
174,17.84859614
175,17.74603208
176,17.52802774
177,17.53148463
178,17.37862159
179,17.11233246
180,17.26495752
181,17.27309737
